review,sentiment
writer director peter greenaway cement title high lord art house pretension latest exercise obnoxious self indulgence ½ woman film follows wealthy englishman son mutual quest sexual satisfaction lure blackmail woman guess many joining personal collection concubine br br think possible way premise could offensive chance greenaway done female character little catalogue fetish two protagonist partake kabuki obsessed mio ever pregnant giaconda beryl got thing farm animal giulietta leg us wheelchair half woman get greenaway vehemently denies accusation misogyny br br film go eroticize anything everything japan continuation theme snore worthy less sexist film pillow book pillow book erotic graceful ½ woman get horny exploitative greenaway work tasteless arrogant fetishism person likely enjoy watching auteur,0
would like known often rate movie originally excited see movie numerous trailer bump tv several month made reaally want see movie night saw available fearnet demand got popcorn sat watch film br br storyline seemed intriguing enough dude butchering unsuspecting people subway photographer obsessed missing people going happening one day photographer see connection photo taken becomes obsessed butcher following around yada yada film way sucking even though plot highly predictable oh dark look behind say quite bored cheap thrill br br plot even though predictable intriguing end good end got silly say jack skellington freke message board fully agree come spoiler br br see hoping mad killer psychotic person obsessed cannibalism secret society keeping creature alive century woo original unrealistic dull br br come lionsgate amazing film one sunk,0
say one redeeming speck regard film firmly establishes bottom barrel filmmaker know aim making movie regret watching debacle shameless abandon making film waste right folk one hundred thousand dollar film reminds adult video award show group industrial prostitute stand praise believing real actor actress filmmaker ironic watched blue movie better acting directing writing also found funny executive producer justin ament movie play deputy jake barker sure acting career taken ted pfiffer writer part doubt wallowing clichéd glory created noted carrie finklea lead role movie might remember gu van sant elephant though sure want write film resume sure depressing point money spent make film people going watch along torque godsend sky captain world tomorrow one worst film worst film,0
know got idea snake plane put bluntly pay see movie really want waste minute life either catch cable get free pick netflix blockbuster pay rent pay rent one stupid individual acting awful plot awful everything awful except snake whether real cgi generated look pretty good said still movie one worst movie ever seen even nude dancing scene pretty bad actually fast forwarded sat warn,0
like sci fi cartoon however robotboy appeared canada late watched premiere inevitably appalled character generic stereotypical really need make african american man wear tiger stripe print clothing speak jamacian accent asian character vibrant yellow squinting mother big thigh chest constantly complain point thing become unrealistic predictable gross sometimes disturbing heavy similarity even stab astro boy allow explain dub name young robotboy astro kamikaze tenma constantine shadow gu abercrombie tommy alejo lola zoran kennedy moshimo shay brief resemblance life teenage robot star war teenage mutant ninja turtle kamen rider sailor moon co afoot mention abundant racial gender stereotyping even get started innuendo say hidden quite dirty seriously even try watching especially like astro boy,0
robert downey jr th century wig dress enough make shudder believe great actor like sam neill actually took part movie whole thing unbelievable especially like merivel cure crazy dance hey presto everyone happy better guess like character merivel much therefore watching whole movie supposed transition whoring buffoon great physician grueling br br also entirely sure think plague well famous fire london took place simultaneously,0
hulk hit theater long dvd old incredible hulk tv show popped attempt cash craze saw similar occurrence year prior spider man cartoon appeared dvd coincide hero big screen debut company leap opportunity ride financial coattail hot brand br br fact picture never surfaced shelf wal mart featured hero clobbered box office summer say lot guess everyone involved would rather forget fair fantastic four bad everyone say let rephrase unentertaining negative review might suggest br br veteran television actor alex hyde white remember role lead way reed richards brilliant scientist along crew gain bizarre power outer space mishap left ability stretch contort body outrageous length future wife sue storm rebecca staab suddenly turn invisible brother johnny jay underwood may ignite poor ben grimm michael bailey smith lovable lug whose body morphs mass craggy orange rock br br friend becoming accustomed called upon rescue world certain chaos seems reed old colleague victor von doom joseph culp living name villainous jeweler ian trigger exactly helping old lady cross street either hero save day course like superhero movie question br br striking fantastic four amateurish virtually every aspect dialog lame tired sound like written junior high drama class acting unpolished make third rate afternoon soap opera look like shakespeare special effect surprisingly good considering minuscule budget still positively embarrassing moment human torch fully ignites body instance entire movie briefly turn cartoon hear production meeting oh one notice intrigued action mean really cartoon least give mannequin fire held string prior scene foursome come earth spaceship crash pure teen backyard fare crew simply found field lit vaguely spaceship like object fire remnant major disaster br br course whole lot work script fairly coherent story simplified reed ben decide go outer space simply drop storm house ask care join really easy sort thing require oh know year training expertise world writer seemed inspired underrated genius display full house rerun bad may nothing compare painfully clichéd dr doom pulled right awful superhero cartoon right evil laugh slamming clenched fist table punctuate remark comic book least fantastic four ever featured villain obscenely one dimensional br br ultimately fantastic four saved complete turkey damn innocent tell people involved little talent experience really tried know final result would embarrassing impression big break people would flock theater bear repeating virtually money work sure half eaten cool thing costume thing considered well many flaw finished product fair amount fun comic book fan,0
story line game jerky appears game writer tried find way justify character appears certain area world map tale soul said gripe game br br beginning fmv spectacular breath taking scenery interesting new device ability create design character martial art discipline even second story mode make awkward story design tale soul br br part fmvs tale soul also interactive decide fate character certain degree interesting feature br br many combination character create varied path explore tale soul chronicle sword story mode game keep beatem rpg fan amused,1
add much said already except going line minimum policy br br actually got vhs dvd copy quality quite poor desperately need officially released br br imagine extra would like see tim healy character swearing way one football blooper type programme would great imagine course look like people carry dreaming dvd release br br surely god must someone dvd release department itv also know something british culture web savvy enough look imdb oh well,1
independent b w dv feature consistently shock amazes amuses ability create insane situation find humor interest hilarious ridiculous stuff yet absurd much film heart reality keep film grounded keep entire piece drifting complete craziness therein lie real message film survive world gone mad seems heart film insane wall thing get leon yr old paperboy protagonist always try keep together like child forever trying catch balloon floating away everything work best everyone want br br acting film could went far top exceptional cast really keep piece cohesive van meter perhaps best bunch performance shine absurd diseased tic character film overlook sudden outburst see real person underneath br br majkowski true genius take utmost ridiculous plot twist keep real script cast help keep whole thing afloat true testament skill majkowski involved film grating plot character never work nerve majkowski taken film could abrasive repugnant somehow given heart humor unique film missed br br,1
